fo time ls_time n_ls_moves
39949 1623341 55 2082
40008 1621211 53 2082
40065 1624697 51 2042
40135 1623136 63 2099
40195 1622161 54 2067
40254 1622265 52 2065
40320 1623263 60 2089
40381 1618998 54 2141
40440 1620444 52 2129
40507 1620305 61 2136
40567 1623018 54 2063
40629 1627735 55 2192
40693 1619665 58 2126
40757 1623473 56 2202
40815 1622284 52 2084
40875 1624772 54 2090
40941 1625783 58 2249
41001 1623951 54 2131
41058 1624176 51 2136
41126 1621544 62 2111
41184 1619438 52 2034
41247 1625010 56 2265
41310 1620767 56 1990
41370 1622572 54 2181
41430 1624349 53 2042
41492 1621861 55 2053
41557 1624329 59 2126
41615 1618702 51 2075
41671 1621172 50 2014
41739 1623822 61 2115
41801 1623161 55 2197
41859 1623896 52 2066
41926 1623563 61 2172
41987 1626245 55 2159
42047 1623922 53 2170
42110 1622527 56 2082
42177 1626266 58 2235
42242 1621810 59 2202
42306 1625107 58 2260
42371 1623542 57 2096
42432 1626563 54 2142
42492 1622992 54 2144
42556 1619652 57 2095
42621 1627916 58 2274
42678 1619141 51 2030
42745 1625534 60 2141
42808 1624329 56 2142
42866 1625292 52 2177
42926 1619631 54 2002
42995 1625340 60 2209
43050 1623536 49 2017
43106 1620267 49 2078
43184 1626761 70 2253
43241 1623990 51 2088
43304 1625092 56 2200
43368 1623234 58 2073
43430 1623149 55 2091
43489 1623719 53 2116
43553 1624391 57 2049
43615 1621189 56 2155
43680 1621862 59 2143
43748 1621496 61 2149
43806 1625626 52 2106
43864 1623640 51 2117
43923 1623297 53 2126
43990 1627460 60 2254
44051 1622286 54 2110
44111 1622724 53 2163
44177 1621986 59 2022
44238 1627308 55 2189
44294 1622130 50 2023
44367 1620096 66 2164
44429 1623197 56 2201
44486 1622265 51 2099
44544 1620418 52 2020
44615 1623642 63 2205
44678 1622455 56 2155
44740 1625662 55 2174
44805 1623390 59 2084
44864 1622341 53 2030
44925 1622895 54 2166
44994 1622576 62 2252
45053 1624320 53 2164
45115 1623882 56 2138
45184 1620286 62 2048
45242 1622091 52 2028
45298 1625553 50 2066
45357 1621389 52 2025
45417 1624829 52 2006
45478 1622243 54 2081
45535 1620203 51 2071
45602 1621416 60 2137
45667 1625899 58 2213
45726 1625414 52 2128
45794 1625894 62 2080
45856 1624961 55 2121
45917 1626133 54 2182
45983 1622356 60 2104
46042 1623241 52 1997
46107 1630446 58 2258
46170 1622274 57 2113
46230 1622796 52 2066
46291 1622245 54 2198
46351 1624712 54 2161
46420 1624389 63 2204
46480 1623456 53 2095
46545 1625942 58 2252
46612 1623837 61 2144
46671 1621138 53 2023
46733 1627927 55 2181
46799 1622763 60 2136
46863 1625799 58 2223
46925 1623993 56 2125
46986 1621307 54 2095
47059 1624423 62 2204
47121 1622973 55 2165
47186 1623163 58 2221
47252 1624033 58 2096
47314 1624701 55 2213
47376 1624548 55 2142
47439 1622555 57 2133
47502 1624930 57 2190
47559 1620166 51 2113
47627 1622880 61 2093
47690 1626148 56 2004
47751 1624090 55 2149
47809 1620924 51 2077
47876 1619033 59 2004
47936 1626166 54 2059
47999 1625893 56 2232
48063 1625694 55 2078
48124 1622575 54 2087
48181 1620730 50 2079
48247 1627810 59 2236
48308 1623196 54 2124
48372 1622436 57 2068
48437 1619493 59 2045
48500 1623448 56 2103
48555 1620386 49 2038
48619 1620419 58 2158
48677 1620305 51 2111
48737 1624997 54 2081
48801 1627243 57 2147
48869 1624999 61 2155
48930 1625834 54 2217
48995 1623168 59 2143
49065 1619794 63 2141
49125 1621583 53 2077
49184 1622645 53 2140
49249 1626186 58 2171
49315 1624720 60 2362
49373 1621955 52 2105
49439 1621927 59 2092
49499 1622043 53 2129
49562 1624896 56 2266
49622 1625524 53 2085
49686 1620544 57 1990
49749 1625201 55 2136
49810 1624642 55 2113
49878 1626186 60 2218
49941 1625586 57 2284
50002 1625406 54 2103
50072 1621638 64 2145
50133 1621351 54 2107
50194 1621981 55 2176
50259 1618127 59 2068
50321 1626641 56 2210
50378 1625484 50 1985
50443 1623885 58 2222
50505 1624424 55 2155
50564 1622486 52 2033
50624 1623151 54 2107
50684 1620198 52 1966
50740 1622881 50 2017
50798 1621581 51 2105
50862 1622857 58 2029
50924 1628882 56 2159
50985 1622104 55 2087
51047 1623409 56 2068
51117 1627585 58 2290
51175 1622455 52 2072
51239 1622712 57 2162
51303 1621847 57 2016
51368 1623338 59 2113
51428 1622026 54 2143
51491 1620646 57 2079
51555 1623788 58 2111
51617 1622204 55 2271
51687 1626931 64 2220
51745 1623846 52 2075
51804 1621269 52 2149
51870 1622428 60 2153
51932 1626739 55 2174
51992 1621551 54 2155
52052 1623521 54 2092
52119 1623146 60 2219
52176 1620749 50 2034
52234 1619676 52 2078
52306 1624833 66 2227
52367 1622486 54 2130
52428 1623533 55 2129
52502 1625376 68 2197
52561 1624832 52 2157
52616 1620759 49 2055
52675 1624252 53 2038
52737 1620181 54 2107
52795 1621878 51 2129
52853 1618198 52 2048
52927 1627242 66 2237
52987 1623986 54 2186
53040 1619957 47 1927
53106 1623635 59 2164
53167 1620710 54 2240
53225 1622489 52 2023
53290 1624066 58 2150
53347 1618550 50 1990
53402 1620629 48 2015
53461 1622436 53 2109
53527 1621889 58 2125
53586 1620831 52 2055
53646 1624478 54 2163
53716 1623944 63 2084
53776 1624830 53 2053
53838 1622625 55 2137
53906 1625004 61 2116
53971 1623267 59 2218
54029 1624193 51 2103
54090 1623259 55 2154
54160 1623669 62 2070
54219 1621837 53 2147
54279 1624364 53 2066
54352 1622754 65 2254
54418 1626127 58 2212
54472 1623649 48 2038
54533 1616334 54 2001
54590 1623067 51 2043
54652 1621872 56 2229
54725 1625285 66 2155
54791 1622010 59 2153
54851 1622620 53 2086
54915 1620503 58 2099
54982 1624121 58 2019
55044 1626423 55 2152
55105 1622203 55 2153
55175 1623317 62 2149
55235 1621804 54 2097
55296 1625306 54 2139
55362 1623874 59 2137
55421 1622102 53 2085
55486 1622375 59 2171
55554 1624126 62 2211
55614 1622537 53 2145
55675 1624690 55 2172
55741 1620489 59 2074
55802 1621745 55 2124
55859 1621904 50 2073
55917 1622773 52 2108
55983 1619389 57 2129
56041 1621121 52 2044
56102 1626530 55 2214
56166 1623806 57 2150
56225 1624346 52 2072
56284 1623438 52 2033
56356 1624957 66 2209
56420 1621336 57 2132
56478 1619885 52 2109
56541 1621536 56 2022
56599 1622710 51 2088
56666 1621134 60 2241
56725 1620863 53 2091
56799 1623418 66 2227
56858 1619888 53 2089
56920 1623338 56 2129
56984 1619995 57 2071
57045 1624985 55 2113
57103 1621722 52 2164
57172 1623104 62 2089
57232 1623307 54 2115
57292 1624303 53 2096
57358 1620809 60 2058
57416 1619896 52 2103
57477 1622026 54 2152
57535 1619111 52 2048
57603 1622526 61 2169
57665 1620940 56 2129
57728 1625026 56 2222
57794 1619136 58 2044
57853 1624202 53 2131
57912 1621664 52 2081
57977 1621525 58 2054
58039 1624600 55 2200
58098 1624570 53 2150
58163 1623972 58 2153
58223 1619453 53 1978
58287 1624043 58 2131
58350 1620143 56 2188
58413 1624458 56 2095
58476 1621130 56 2185
58540 1624525 58 2204
58608 1625231 60 2156
58667 1621922 52 2116
58727 1623687 54 2092
58794 1623102 60 2084
58858 1623622 58 2159
58918 1620952 53 2092
58986 1621207 62 2034
59052 1623229 59 2157
59110 1623072 51 2080
59180 1623840 64 2162
59239 1624491 52 2095
59297 1621460 52 2073
59352 1619244 49 1946
59416 1623921 57 2131
59475 1620955 52 2077
59540 1626572 59 2194
59604 1618791 58 2092
59666 1625207 55 2232
59729 1622122 56 2158
59794 1625045 58 2058
59854 1623867 53 2136
59919 1624168 59 2191
59975 1619587 49 1966
60040 1625602 58 2179
60098 1624737 51 2060
60161 1624536 57 2241
60233 1617689 65 2098
60292 1625196 53 2116
60351 1620765 52 2098
60418 1621432 60 2139
60478 1620198 54 1999
60543 1625602 58 2225
60611 1624228 62 2173
60667 1620164 49 1975
60725 1620908 52 2063
60786 1621694 55 2131
60850 1624933 57 1993
60910 1619507 54 2088
60969 1621053 52 2167
61037 1625760 62 2269
61094 1620185 50 1961
61162 1622557 62 2238
61235 1624043 66 2155
61299 1623084 58 2156
61354 1618983 48 1952
61421 1623895 60 2157
61484 1623768 57 2147
61549 1622475 59 2145
61619 1625037 64 2141
61681 1624271 53 2076
61747 1623328 59 2179
61805 1623999 52 2100
61870 1625437 57 2198
61926 1620807 50 1980
61988 1621197 56 2146
62057 1623916 63 2171
62118 1623876 54 2135
62176 1622918 52 2084
62242 1621114 59 2068
62305 1627689 57 2209
62364 1627686 52 2164
62436 1625108 65 2242
62500 1622569 57 2055
62562 1623872 56 2257
62625 1625530 56 2168
62692 1622804 58 2241
62747 1622172 49 1999
62805 1622653 51 2116
62876 1622962 64 2183
62936 1623618 54 2116
62994 1621752 52 2131
63063 1622579 62 2136
63123 1621428 54 2066
63180 1624933 50 2058
63245 1625701 59 2105
63310 1624315 58 2076
63368 1625218 52 2147
63431 1625156 56 2162
63496 1624308 57 2170
63554 1624650 51 2148
63607 1619564 46 1888
63670 1619223 57 2010
63727 1625223 50 2037
63784 1620008 51 2048
63853 1623476 62 2080
63915 1625071 55 2115
63976 1622033 55 2175
64036 1623551 54 2095
64103 1623329 60 2145
64163 1623226 54 2186
64217 1618635 48 2003
64283 1622014 60 2044
64343 1624589 54 2156
64403 1621080 53 2077
64470 1622938 60 2094
64528 1624540 52 2089
64589 1622087 55 2127
64653 1623092 57 2168
64713 1623480 52 2048
64778 1625087 58 2193
64837 1623286 52 2116
64904 1625051 59 2140
64966 1626196 55 2193
65032 1625074 59 2144
65100 1622370 62 2138
65163 1623392 56 2112
65223 1625329 54 2145
65289 1623467 60 2128
65346 1621539 50 2070
65408 1625522 55 2270
65474 1622968 60 2090
65542 1620569 59 2116
65597 1623464 49 2055
65659 1623421 55 2153
65720 1619010 54 2008
65781 1625382 54 2113
65841 1624579 53 2166
65908 1623744 61 2167
65967 1626354 53 1975
66026 1623149 53 2149
66091 1619342 59 2172
66154 1621784 56 2138
66210 1625546 49 2064
66272 1624081 56 2171
66336 1623400 58 2126
66394 1624152 51 2123
66454 1624854 54 2109
66517 1623345 56 2042
66576 1624341 53 2090
66642 1623464 59 2157
66704 1624197 56 2088
66766 1622011 55 2096
66827 1624244 54 2163
66893 1621718 60 2168
66958 1626110 57 2197
67015 1624243 50 2101
67074 1626157 53 2156
67140 1626570 58 2133
67196 1622065 50 2069
67256 1623984 54 2243
67322 1623241 59 2081
67382 1622481 54 2094
67445 1623428 56 2085
67508 1621668 56 2045
67567 1621348 53 2124
67629 1623354 56 2131
67693 1622438 57 2204
67756 1619961 57 2190
67818 1624918 56 2162
67877 1621342 52 2108
67940 1620158 57 2082
68001 1624850 55 2168
68062 1624210 54 2143
68131 1621970 62 2073
68196 1627318 58 2259
68254 1624001 52 2155
68321 1622895 60 2125
68383 1622795 55 2172
68445 1625088 56 2255
68504 1624866 52 2095
68572 1624607 62 2202
68631 1624885 52 2127
