!Experiment Random Multi Restart #Runs Limit 1[s]
n d i ls_name move_strg rmr_duration number_of_runs fo_max fo_mean fo_sd n_moves_mean n_moves_sd n_moves2_mean mean2_round_time
1000 10 4 basic first_move 0.214000 1 1617531 1617531.000000 0.000000 2131.000000 0.000000 0.000000 0.000000 0.000000
1000 10 5 bs_array first_move 0.074000 1 1616855 1616855.000000 0.000000 2160.000000 0.000000 0.000000 0.000000 0.000000
1000 10 5 tree first_move 0.351000 1 1617658 1617658.000000 0.000000 2084.000000 0.000000 0.000000 0.000000 0.000000
1000 10 5 basic first_move 0.269000 1 1617488 1617488.000000 0.000000 2119.000000 0.000000 0.000000 0.000000 0.000000
1000 50 1 bs_array first_move 1.166000 1 8062075 8062075.000000 0.000000 2902.000000 0.000000 0.000000 0.000000 0.000000
1000 50 1 tree first_move 5.190000 1 8068919 8068919.000000 0.000000 2983.000000 0.000000 1.000000 0.000000 0.000000
1000 50 1 basic first_move 0.331000 1 8073439 8073439.000000 0.000000 2991.000000 0.000000 0.000000 0.000000 0.000000
1000 50 2 bs_array first_move 1.114000 1 8070430 8070430.000000 0.000000 3131.000000 0.000000 0.000000 0.000000 0.000000
1000 50 2 tree first_move 5.111000 1 8071049 8071049.000000 0.000000 2936.000000 0.000000 1.000000 0.000000 0.000000
1000 50 2 basic first_move 0.268000 1 8073419 8073419.000000 0.000000 2994.000000 0.000000 0.000000 0.000000 0.000000
1000 50 3 bs_array first_move 1.057000 1 8071459 8071459.000000 0.000000 2963.000000 0.000000 0.000000 0.000000 0.000000
1000 50 3 tree first_move 5.053000 1 8067433 8067433.000000 0.000000 2949.000000 0.000000 1.000000 0.000000 0.000000
1000 50 3 basic first_move 0.372000 1 8063673 8063673.000000 0.000000 2923.000000 0.000000 0.000000 0.000000 0.000000
1000 50 4 bs_array first_move 0.980000 1 8068570 8068570.000000 0.000000 2875.000000 0.000000 0.000000 0.000000 0.000000
1000 50 4 tree first_move 5.277000 1 8062608 8062608.000000 0.000000 3097.000000 0.000000 1.000000 0.000000 0.000000
1000 50 4 basic first_move 0.409000 1 8067637 8067637.000000 0.000000 2913.000000 0.000000 0.000000 0.000000 0.000000
1000 50 5 bs_array first_move 1.084000 1 8068783 8068783.000000 0.000000 3021.000000 0.000000 0.000000 0.000000 0.000000
1000 50 5 tree first_move 5.811000 1 8070335 8070335.000000 0.000000 3012.000000 0.000000 1.000000 0.000000 0.000000
1000 50 5 basic first_move 0.373000 1 8057978 8057978.000000 0.000000 2922.000000 0.000000 0.000000 0.000000 0.000000
1000 100 1 bs_array first_move 3.718000 1 25756700 25756700.000000 0.000000 3366.000000 0.000000 0.000000 0.000000 0.000000
1000 100 1 tree first_move 14.091000 1 25761673 25761673.000000 0.000000 3479.000000 0.000000 3.000000 0.000000 0.000000
1000 100 1 basic first_move 0.396000 1 25750159 25750159.000000 0.000000 3346.000000 0.000000 0.000000 0.000000 0.000000
1000 100 2 bs_array first_move 4.257000 1 25769025 25769025.000000 0.000000 3436.000000 0.000000 0.000000 0.000000 0.000000
1000 100 2 tree first_move 14.956000 1 25763953 25763953.000000 0.000000 3709.000000 0.000000 3.000000 0.000000 0.000000
1000 100 2 basic first_move 0.441000 1 25757087 25757087.000000 0.000000 3479.000000 0.000000 0.000000 0.000000 0.000000
1000 100 3 bs_array first_move 3.839000 1 25803793 25803793.000000 0.000000 3587.000000 0.000000 0.000000 0.000000 0.000000
1000 100 3 tree first_move 13.779000 1 25787073 25787073.000000 0.000000 3396.000000 0.000000 3.000000 0.000000 0.000000
1000 100 3 basic first_move 0.463000 1 25796084 25796084.000000 0.000000 3542.000000 0.000000 0.000000 0.000000 0.000000
1000 100 4 bs_array first_move 4.214000 1 25817764 25817764.000000 0.000000 3600.000000 0.000000 0.000000 0.000000 0.000000
1000 100 4 tree first_move 14.734000 1 25813169 25813169.000000 0.000000 3476.000000 0.000000 3.000000 0.000000 0.000000
1000 100 4 basic first_move 0.422000 1 25807663 25807663.000000 0.000000 3452.000000 0.000000 0.000000 0.000000 0.000000
1000 100 5 bs_array first_move 3.581000 1 25760463 25760463.000000 0.000000 3174.000000 0.000000 0.000000 0.000000 0.000000
1000 100 5 tree first_move 13.656000 1 25765161 25765161.000000 0.000000 3334.000000 0.000000 3.000000 0.000000 0.000000
1000 100 5 basic first_move 0.281000 1 25761694 25761694.000000 0.000000 3257.000000 0.000000 0.000000 0.000000 0.000000
2000 1 1 bs_array first_move 0.013000 1 765753 765753.000000 0.000000 2637.000000 0.000000 0.000000 0.000000 0.000000
2000 1 1 tree first_move 0.068000 1 767431 767431.000000 0.000000 2747.000000 0.000000 0.000000 0.000000 0.000000
2000 1 1 basic first_move 1.375000 1 767315 767315.000000 0.000000 2688.000000 0.000000 0.000000 0.000000 0.000000
2000 1 2 bs_array first_move 0.015000 1 772755 772755.000000 0.000000 2761.000000 0.000000 0.000000 0.000000 0.000000
2000 1 2 tree first_move 0.069000 1 771142 771142.000000 0.000000 2729.000000 0.000000 0.000000 0.000000 0.000000
2000 1 2 basic first_move 1.710000 1 772392 772392.000000 0.000000 2775.000000 0.000000 0.000000 0.000000 0.000000
2000 1 3 bs_array first_move 0.015000 1 747529 747529.000000 0.000000 2705.000000 0.000000 0.000000 0.000000 0.000000
2000 1 3 tree first_move 0.068000 1 749134 749134.000000 0.000000 2793.000000 0.000000 0.000000 0.000000 0.000000
2000 1 3 basic first_move 1.690000 1 748436 748436.000000 0.000000 2758.000000 0.000000 0.000000 0.000000 0.000000
2000 1 4 bs_array first_move 0.014000 1 769756 769756.000000 0.000000 2683.000000 0.000000 0.000000 0.000000 0.000000
2000 1 4 tree first_move 0.067000 1 771800 771800.000000 0.000000 2762.000000 0.000000 0.000000 0.000000 0.000000
2000 1 4 basic first_move 1.972000 1 771309 771309.000000 0.000000 2637.000000 0.000000 0.000000 0.000000 0.000000
2000 1 5 bs_array first_move 0.017000 1 766543 766543.000000 0.000000 2695.000000 0.000000 0.000000 0.000000 0.000000
2000 1 5 tree first_move 0.059000 1 768322 768322.000000 0.000000 2806.000000 0.000000 0.000000 0.000000 0.000000
2000 1 5 basic first_move 1.441000 1 765839 765839.000000 0.000000 2823.000000 0.000000 0.000000 0.000000 0.000000
2000 5 1 bs_array first_move 0.127000 1 3205872 3205872.000000 0.000000 4213.000000 0.000000 0.000000 0.000000 0.000000
2000 5 1 tree first_move 0.986000 1 3206063 3206063.000000 0.000000 4298.000000 0.000000 0.000000 0.000000 0.000000
